,State,District,Year,Season,Crop,Area,Production,Avg_Temperature,rainfall,Avg_windspeed,Avg_pressure,Avg_humidity,Avg_uvindex,sunhours,
69,Andhra Pradesh,KURNOOL,2010,Kharif     ,Rice,104110,291475,27.5,255.22,10.65,1006.2,71.25,5.5,970,
70,Andhra Pradesh,KURNOOL,2010,Rabi       ,Rice,32967,105626,21.8,85.03,9.65,1010.31,56.5,6.33,424,
71,Andhra Pradesh,KURNOOL,2011,Kharif     ,Rice,91984,333882,27.5,302.7,15.4,1006.42,65,6.25,985,
72,Andhra Pradesh,KURNOOL,2011,Rabi       ,Rice,14738,46042,25.833,67.99,10.5,1011.18,51.16,6.66,450,
73,Andhra Pradesh,KURNOOL,2012,Kharif     ,Rice,72625,276774,27.75,199.36,15.32,1006.72,63.75,6.25,978.5,
74,Andhra Pradesh,KURNOOL,2012,Rabi       ,Rice,16840,60102,26.33,55.1,11.78,1011.78,51.16,6.83,441.5,
75,Andhra Pradesh,KURNOOL,2013,Kharif     ,Rice,92596,340383,28.75,335.91,15.07,1006.02,69,6.25,916,
76,Andhra Pradesh,KURNOOL,2013,Rabi       ,Rice,32298,118017,27.16,119.99,11.61,1011.88,55.33,6.8,420,
77,Andhra Pradesh,KURNOOL,2014,Kharif     ,Rice,91569,361514,29.25,200.39,15.32,1007.17,62,6.5,1001.5,
78,Andhra Pradesh,KURNOOL,2014,Rabi       ,Rice,23329,82748,27.16,15.28,11.68,1012.81,48.33,7,449,
79,Andhra Pradesh,KURNOOL,2014,Whole Year ,Rice,114898,444262,29.5,,13.54,1009.1,50.08,6.66,,
80,Andhra Pradesh,PRAKASAM,2010,Kharif     ,Rice,48878,143300,29.5,,12.32,1005,66.5,6.5,,
81,Andhra Pradesh,PRAKASAM,2010,Rabi       ,Rice,107903,376150,26.16,,11.9,1009.9,73,6.5,,
82,Andhra Pradesh,PRAKASAM,2011,Kharif     ,Rice,39122,134932,30.25,,14.75,1005.2,62.25,6.5,,
83,Andhra Pradesh,PRAKASAM,2011,Rabi       ,Rice,79396,292098,26.5,,12.48,1011.01,70.33,6.5,,
84,Andhra Pradesh,PRAKASAM,2012,Kharif     ,Rice,17820,64027,30.5,,15.87,1005.4,59.25,6.75,,
85,Andhra Pradesh,PRAKASAM,2012,Rabi       ,Rice,33942,125959,26.33,,12.85,1011.58,69.5,6.66,,
86,Andhra Pradesh,PRAKASAM,2013,Kharif     ,Rice,58034,213391,31.5,,15.45,1004.62,63.75,7.75,,
87,Andhra Pradesh,PRAKASAM,2013,Rabi       ,Rice,80544,318874,28,,13.2,1011.6,68.83,7.16,,
88,Andhra Pradesh,PRAKASAM,2014,Kharif     ,Rice,31764,121783,31.5,,16.82,1005.8,58.5,7.25,,
89,Andhra Pradesh,PRAKASAM,2014,Rabi       ,Rice,73533,284132,27.16,,12.82,1012.6,67.33,7.16,,
90,Andhra Pradesh,PRAKASAM,2014,Whole Year ,Rice,105297,405915,30.16,,15.55,932.61,61.75,7.5,,
91,Andhra Pradesh,SPSR NELLORE,2010,Kharif     ,Rice,69873,228485,30,193.31,10.42,1005.15,66.5,7,1167,
92,Andhra Pradesh,SPSR NELLORE,2010,Rabi       ,Rice,200990,777027,26.26,215.72,10.48,1009.66,74.83,6.33,384.5,
93,Andhra Pradesh,SPSR NELLORE,2011,Kharif     ,Rice,53137,195269,30.25,205.82,9.85,1005.17,60,6.5,1134.5,
94,Andhra Pradesh,SPSR NELLORE,2011,Rabi       ,Rice,201435,836157,26.66,224.76,12.45,1010.66,70.16,6.5,398.5,
95,Andhra Pradesh,SPSR NELLORE,2012,Kharif     ,Rice,53866,214710,31.25,135.95,15.75,1005.25,56.5,6.75,1202.5,
96,Andhra Pradesh,SPSR NELLORE,2012,Rabi       ,Rice,197403,811721,26.66,143.71,12.5,1011,70.33,6.66,409,
97,Andhra Pradesh,SPSR NELLORE,2013,Kharif     ,Rice,32241,115455,31.5,246.2,15,1004.5,62,7.5,1125.5,
98,Andhra Pradesh,SPSR NELLORE,2013,Rabi       ,Rice,192652,795653,27.16,160.05,12.66,1011,70,7,382,
99,Andhra Pradesh,SPSR NELLORE,2014,Kharif     ,Rice,62232,232561,32,69.19,16.25,1005.5,57.5,7.25,1197,
100,Andhra Pradesh,SPSR NELLORE,2014,Rabi       ,Rice,178491,736454,27.16,49.55,11.95,844.16,67.8,7,417.5,
101,Andhra Pradesh,SPSR NELLORE,2014,Whole Year ,Rice,240723,969015,30.33,,15.25,1008,61.58,7.41,,
102,Andhra Pradesh,SRIKAKULAM,2010,Kharif     ,Rice,205853,167482,28.75,395.72,11.5,104,79.25,5.75,1216.5,
103,Andhra Pradesh,SRIKAKULAM,2010,Rabi       ,Rice,7098,16822,26.16,260.28,11,1010.5,71.66,6.5,485,
104,Andhra Pradesh,SRIKAKULAM,2011,Kharif     ,Rice,208239,399240,28.5,384.07,11.5,1004,75.25,6.75,1215.5,
105,Andhra Pradesh,SRIKAKULAM,2011,Rabi       ,Rice,2178,4593,26.16,69.54,10.33,1011.8,69.5,6.66,566,
106,Andhra Pradesh,SRIKAKULAM,2012,Kharif     ,Rice,205859,520823,29,402.65,12.75,1004.25,75.75,6.5,1159,
107,Andhra Pradesh,SRIKAKULAM,2012,Rabi       ,Rice,2884,7870,26.33,177.7,10.5,1012,66.83,6.83,531.5,
